age,mean,median,q025,q975,state
1,22477.12723573656,21797.069352999584,12864.343394637312,35861.610582190006,PA
2,38227.42990415964,37611.74143927223,25778.105058246016,53948.76684228598,PA
3,27651.65057558461,27189.34049875532,18064.16571024026,39899.4793768841,PA
4,19752.529763756138,19247.342426794392,12015.161487403971,30360.8040018983,PA
5,52166.70919319533,51672.75250661277,37107.83279331965,70091.09128058246,PA
1,2056.4633866675845,1987.736687701149,1092.4014347485434,3407.627083085319,RI
2,3785.325159396354,3713.484975079513,2365.9529765874477,5609.655411446248,RI
3,2129.7922212334943,2069.0712867157636,1241.0009402825397,3349.510391804923,RI
4,1925.1112567503328,1864.436756963024,1064.117976352419,3127.1309665250033,RI
5,4830.4185270120815,4755.535251817517,3166.6487408529674,6927.107163572405,RI
1,8905.105680564371,8289.346294428733,3776.4193311477297,17485.062869766807,SC
2,13103.908187541663,12627.23593795794,7014.238248181522,21979.44060660683,SC
3,9857.079958817094,9525.46017493417,5456.957248345699,16094.557353700608,SC
4,7186.00025141998,6754.134243796445,3427.6451938356463,13415.971396313818,SC
5,17445.938614222072,16949.90413121164,10126.687856501998,27631.091341325817,SC
1,1136.8517079942549,1013.8449122927419,374.25223263931923,2603.5921968986627,SD
2,2035.894664629916,1892.9263468190195,873.4916747453034,3962.859597916113,SD
3,1883.5769132506719,1784.1635545317517,834.4387497931493,3479.0197096760794,SD
4,563.3724451589952,522.513744626147,228.22748040318655,1136.633428332832,SD
5,2825.09314942142,2745.2606406784125,1411.801482333049,4687.963863925041,SD
1,10637.147886192623,10156.768186211095,5824.4131291131935,18235.06573452065,TN
2,20781.545154692572,20218.71950991814,13334.866730639093,31219.902836325306,TN
3,15204.13655740143,14796.774997416895,9241.181165604643,23488.523098781345,TN
4,8613.264441013951,8396.012559722272,5299.870990648238,13158.360131276891,TN
5,25756.838376183438,25438.465988858035,17080.1364846402,36259.737949899354,TN
1,42684.25274781198,41581.50572054302,25363.101842478907,65911.31071941747,TX
2,92853.35509712964,91682.41637791693,63014.57542353237,129412.90685201225,TX
3,58687.693980327545,57681.312288522684,38488.15640952886,84558.78111935628,TX
4,40419.87344370274,39455.01749304692,24884.100354916598,61406.56912914852,TX
5,89929.23419398657,88724.68390020702,61712.19888668082,124561.64775858878,TX
1,4874.566423518349,4652.371564467269,2434.4371723945183,8532.064986043015,UT
2,9957.250474777147,9794.40877578517,6494.607080332007,14287.677792336988,UT
3,6007.52443428711,5882.495637457507,3648.4149590313277,9056.789373137099,UT
4,3548.1987294134224,3426.092477474628,1995.9579111023181,5782.437093020198,UT
5,8496.950315369175,8354.669064776423,5496.266209763909,12265.957659649797,UT
1,20881.29152867012,20189.099112634678,11366.931009978329,34316.405266603506,VA
2,26287.32573337814,25686.076437337655,16461.126054583056,39511.269793116975,VA
3,23583.042653908135,23069.87923788697,14604.199509704427,35562.33501979703,VA
4,16351.207397478447,15673.25302669263,8619.664135251038,27994.864520399933,VA
5,30886.729267244293,30480.383361284763,21138.57890040279,42865.7215421478,VA
1,1750.874254879564,1512.5906188035551,554.7452370174092,4358.144666109315,VT
